ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_fallen_pine_01, 189.5793, 777.8466, 206.1676, 0.1112591, 0.01021101, 0.1614241, 0.9805403, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_critical_0.ymap
prop_tree_fallen_pine_01, -1684.759, 4852.313, 54.23223, 0, 0, 0.9986296, -0.05233598, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1704.749, 4864.818, 43.03786, 0, 0, 0.9304178, -0.3665009, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1690.727, 4854.726, 53.39964, 0, 0, -0.6691308, 0.7431447, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1676.119, 4868.49, 54.59122, 0, 0, -0.06975601, 0.9975641, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1702.842, 4871.591, 41.63479, 0, 0, 0.9799247, 0.199368, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1687.062, 4866.75, 50.91558, 0, 0, 0.7986354, 0.6018153, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1694.768, 4867.88, 47.25155, 0, 0, 0.8480482, -0.5299191, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1622.047, 4914.979, 55.17998, 0, 0, 0.8433912, -0.5373001, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1674.173, 4862.257, 54.70604, 0, 0, 0.130526, 0.9914449, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -1675.813, 4859.678, 56.10169, 0, 0, 0.7372773, -0.6755903, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -859.155, 5526.67, 11.44621, 0.009565997, 0.06603798, 0.8522578, -0.5188489, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_2.ymap
prop_tree_fallen_pine_01, -680.6136, 5450.66, 44.58484, 0, 0, 0.6087614, 0.7933534, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -453.553, 5730.782, 69.76645, -0.01937999, 0.06630297, 0.8841796, -0.4620118, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -557.8978, 5190.684, 94.24773, 0, 0, -0.156435, 0.9876882, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15b_critical_0.ymap
prop_tree_fallen_pine_01, -833.1676, 5230.964, 90.86183, 0, 0, 0.6156611, 0.7880111, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -832.9207, 5220.404, 92.70095, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -927.2016, 5299.813, 77.06361, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -804.3938, 5105.849, 148.2189, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -834.0941, 5105.376, 155.1647, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -521.5729, 5073.903, 124.3998, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -799.5703, 5052.044, 164.498, 0.054005, 0.040079, 0.9934499, -0.09238199, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_3.ymap
prop_tree_fallen_pine_01, -568.4412, 4958.217, 154.8522, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -555.8579, 4923.701, 163.0443, 0.01601001, -0.006769003, 0.9589955, -0.2828881, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -426.783, 4964.203, 167.3379, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -427.7463, 4950.785, 169.5693, 0.0002860001, 0.01738, -0.09654004, 0.9951773, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, 2518.939, 4590.711, 33.06111, 0.101644, 0.007721997, -0.2153959, 0.9711918, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_04_critical_0.ymap
prop_tree_fallen_pine_01, 2492.304, 4584.72, 35.70425, -0.03360899, -0.08487397, 0.8627888, -0.4972549, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_04_critical_0.ymap
prop_tree_fallen_pine_01, -1684.759, 4852.313, 54.23223, 0, 0, 0.9986296, -0.05233598, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1704.749, 4864.818, 43.03786, 0, 0, 0.9304178, -0.3665009, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1690.727, 4854.726, 53.39964, 0, 0, -0.6691308, 0.7431447, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1676.119, 4868.49, 54.59122, 0, 0, -0.06975601, 0.9975641, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1702.842, 4871.591, 41.63479, 0, 0, 0.9799247, 0.199368, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1687.062, 4866.75, 50.91558, 0, 0, 0.7986354, 0.6018153, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1694.768, 4867.88, 47.25155, 0, 0, 0.8480482, -0.5299191, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1622.047, 4914.979, 55.17998, 0, 0, 0.8433912, -0.5373001, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1674.173, 4862.257, 54.70604, 0, 0, 0.130526, 0.9914449, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1675.813, 4859.678, 56.10169, 0, 0, 0.7372773, -0.6755903, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -859.155, 5526.67, 11.44621, 0.009565997, 0.06603798, 0.8522578, -0.5188489, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -680.6136, 5450.66, 44.58484, 0, 0, 0.6087614, 0.7933534, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -453.553, 5730.782, 69.76645, -0.01937999, 0.06630297, 0.8841796, -0.4620118, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -557.8978, 5190.684, 94.24773, 0, 0, -0.156435, 0.9876882, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_critical_0.ymap
prop_tree_fallen_pine_01, -833.1676, 5230.964, 90.86183, 0, 0, 0.6156611, 0.7880111, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -832.9207, 5220.404, 92.70095, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -927.2016, 5299.813, 77.06361, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -804.3938, 5105.849, 148.2189, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -834.0941, 5105.376, 155.1647, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -521.5729, 5073.903, 124.3998, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -799.5703, 5052.044, 164.498, 0.054005, 0.040079, 0.9934499, -0.09238199, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_3.ymap
prop_tree_fallen_pine_01, -568.4412, 4958.217, 154.8522, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -555.8579, 4923.701, 163.0443, 0.01601001, -0.006769003, 0.9589955, -0.2828881, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -426.783, 4964.203, 167.3379, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -427.7463, 4950.785, 169.5693, 0.0002860001, 0.01738, -0.09654004, 0.9951773, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -1684.759, 4852.313, 54.23223, 0, 0, 0.9986296, -0.05233598, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1704.749, 4864.818, 43.03786, 0, 0, 0.9304178, -0.3665009, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1690.727, 4854.726, 53.39964, 0, 0, -0.6691308, 0.7431447, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1676.119, 4868.49, 54.59122, 0, 0, -0.06975601, 0.9975641, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1702.842, 4871.591, 41.63479, 0, 0, 0.9799247, 0.199368, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1687.062, 4866.75, 50.91558, 0, 0, 0.7986354, 0.6018153, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1694.768, 4867.88, 47.25155, 0, 0, 0.8480482, -0.5299191, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1622.047, 4914.979, 55.17998, 0, 0, 0.8433912, -0.5373001, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1674.173, 4862.257, 54.70604, 0, 0, 0.130526, 0.9914449, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -1675.813, 4859.678, 56.10169, 0, 0, 0.7372773, -0.6755903, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_tree_fallen_pine_01, -859.155, 5526.67, 11.44621, 0.009565997, 0.06603798, 0.8522578, -0.5188489, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_1.ymap
prop_tree_fallen_pine_01, -680.6136, 5450.66, 44.58484, 0, 0, 0.6087614, 0.7933534, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -453.553, 5730.782, 69.76645, -0.01937999, 0.06630297, 0.8841796, -0.4620118, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_tree_fallen_pine_01, -557.8978, 5190.684, 94.24773, 0, 0, -0.156435, 0.9876882, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_critical_0.ymap
prop_tree_fallen_pine_01, -833.1676, 5230.964, 90.86183, 0, 0, 0.6156611, 0.7880111, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -832.9207, 5220.404, 92.70095, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -927.2016, 5299.813, 77.06361, 0, 0, -0.069757, 0.997564, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -804.3938, 5105.849, 148.2189, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -834.0941, 5105.376, 155.1647, 0.008369, 0.08745799, 0.991603, -0.09489299, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -521.5729, 5073.903, 124.3998, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_tree_fallen_pine_01, -799.5703, 5052.044, 164.498, 0.054005, 0.040079, 0.9934499, -0.09238199, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_3.ymap
prop_tree_fallen_pine_01, -568.4412, 4958.217, 154.8522, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -555.8579, 4923.701, 163.0443, 0.01601001, -0.006769003, 0.9589955, -0.2828881, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -426.783, 4964.203, 167.3379, 0.024986, 0.084229, 0.955001, -0.283292, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, -427.7463, 4950.785, 169.5693, 0.0002860001, 0.01738, -0.09654004, 0.9951773, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_tree_fallen_pine_01, 2518.939, 4590.711, 33.06111, 0.101644, 0.007721997, -0.2153959, 0.9711918, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_critical_0.ymap
prop_tree_fallen_pine_01, 2492.304, 4584.72, 35.70425, -0.03360899, -0.08487397, 0.8627888, -0.4972549, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_critical_0.ymap
prop_tree_fallen_pine_01, 2518.939, 4590.711, 33.06111, 0.101644, 0.007721997, -0.2153959, 0.9711918, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_critical_0.ymap
prop_tree_fallen_pine_01, 2492.304, 4584.72, 35.70425, -0.03360899, -0.08487397, 0.8627888, -0.4972549, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_critical_0.ymap
