ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_bige_, -680.6742, 4420.431, 14.2734, 0.06640001, 0, 0, 0.9977931, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
csx_rvrbldr_bige_, -1380.563, 4291.732, 3.239315, 0.06341501, 0.01968501, -0.2958101, 0.9529362, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_1.ymap
csx_rvrbldr_bige_, -1380.563, 4291.732, 3.239315, 0.06341501, 0.019685, -0.2958101, 0.9529362, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\hei_cs3_02_strm_1.ymap
csx_rvrbldr_bige_, 436.8192, 4254.329, 28.0141, -0.17072, 0.107904, 0.86711, 0.455337, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 524.3534, 4148.637, 28.52214, -0.181739, 0.050026, -0.163943, 0.9682928, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 501.5244, 4166.182, 30.69305, -0.09576596, -0.07732297, 0.1907489, 0.9738916, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 282.116, 4241.167, 28.92661, -0.3564909, 0.5328348, -0.3577498, 0.6789818, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 332.3202, 4246.9, 28.29785, -0.1765859, -0.1972429, 0.1813089, 0.9471218, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 389.2552, 4280.199, 26.40085, 0.06140099, -0.09017899, 0.9919029, -0.06500999, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 343.4727, 4355.241, 49.29759, -0.04352101, -0.034532, -0.6206031, 0.7821542, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_18.ymap
csx_rvrbldr_bige_, 295.6791, 4393.637, 50.33324, -0.09980107, 0.3367983, -0.02460202, 0.9359495, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_20.ymap
csx_rvrbldr_bige_, 615.6616, 4204.799, 24.84004, 0.016588, -0.297803, 0.9544781, 0.003135, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_22.ymap
csx_rvrbldr_bige_, 593.7148, 4154.749, 28.74622, 0.178264, -0.08086799, 0.9357749, -0.293271, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_long_22.ymap
csx_rvrbldr_bige_, 907.9144, 4281.157, 33.88695, 0.04207099, -0.4515849, 0.195594, 0.869508, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_strm_6.ymap
csx_rvrbldr_bige_, -1598.183, 4373.248, -0.775085, 0.0664, -3E-05, 0.000455, 0.997793, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_1.ymap
csx_rvrbldr_bige_, -680.6742, 4420.431, 14.2734, 0.06640001, 0, 0, 0.9977931, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14b_strm_0.ymap
csx_rvrbldr_bige_, -1380.563, 4291.732, 3.239315, 0.06341501, 0.01968501, -0.2958101, 0.9529362, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\hei_cs3_02_strm_1.ymap
csx_rvrbldr_bige_, 436.8192, 4254.329, 28.0141, -0.17072, 0.107904, 0.86711, 0.455337, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 524.3534, 4148.637, 28.52214, -0.181739, 0.050026, -0.163943, 0.9682928, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 501.5244, 4166.182, 30.69305, -0.09576596, -0.07732297, 0.1907489, 0.9738916, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 282.116, 4241.167, 28.92661, -0.3564909, 0.5328348, -0.3577498, 0.6789818, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 332.3202, 4246.9, 28.29785, -0.1765859, -0.1972429, 0.1813089, 0.9471218, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 389.2552, 4280.199, 26.40085, 0.06140099, -0.09017899, 0.9919029, -0.06500999, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 343.4727, 4355.241, 49.29759, -0.04352101, -0.034532, -0.6206031, 0.7821542, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 295.6791, 4393.637, 50.33324, -0.09980107, 0.3367983, -0.02460202, 0.9359495, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_bige_, 615.6616, 4204.799, 24.84004, 0.016588, -0.297803, 0.9544781, 0.003135, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_bige_, 593.7148, 4154.749, 28.74622, 0.178264, -0.08086799, 0.9357749, -0.293271, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_bige_, 907.9144, 4281.157, 33.88695, 0.04207099, -0.4515849, 0.195594, 0.869508, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_6.ymap
csx_rvrbldr_bige_, -1598.183, 4373.248, -0.775085, 0.0664, -3E-05, 0.000455, 0.997793, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bige_, -680.6742, 4420.431, 14.2734, 0.06640001, 0, 0, 0.9977931, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
csx_rvrbldr_bige_, 436.8192, 4254.329, 28.0141, -0.17072, 0.107904, 0.86711, 0.455337, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 524.3534, 4148.637, 28.52214, -0.181739, 0.050026, -0.163943, 0.9682928, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 501.5244, 4166.182, 30.69305, -0.09576596, -0.07732297, 0.1907489, 0.9738916, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 282.116, 4241.167, 28.92661, -0.3564909, 0.5328348, -0.3577498, 0.6789818, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 332.3202, 4246.9, 28.29785, -0.1765859, -0.1972429, 0.1813089, 0.9471218, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 389.2552, 4280.199, 26.40085, 0.06140099, -0.09017899, 0.9919029, -0.06500999, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 343.4727, 4355.241, 49.29759, -0.04352101, -0.034532, -0.6206031, 0.7821542, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_bige_, 295.6791, 4393.637, 50.33324, -0.09980107, 0.3367983, -0.02460202, 0.9359495, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_bige_, 615.6616, 4204.799, 24.84004, 0.016588, -0.297803, 0.9544781, 0.003135, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_bige_, 593.7148, 4154.749, 28.74622, 0.178264, -0.08086799, 0.9357749, -0.293271, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_bige_, 907.9144, 4281.157, 33.88695, 0.04207099, -0.4515849, 0.195594, 0.869508, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_6.ymap
csx_rvrbldr_bige_, -1598.183, 4373.248, -0.775085, 0.0664, -3E-05, 0.000455, 0.997793, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bige_, -680.6742, 4420.431, 14.2734, 0.06640001, 0, 0, 0.9977931, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
csx_rvrbldr_bige_, -1380.563, 4291.732, 3.239315, 0.06341501, 0.01968501, -0.2958101, 0.9529362, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_1.ymap
