ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_3_h, 1269.262, 3488.381, 32.93502, -0.01194201, 0.004410003, 0.9469604, 0.3210982, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1281.994, 3471.305, 33.60383, -0.01194201, 0.004410003, 0.9469604, 0.3210982, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1284.037, 3464.068, 34.37758, 0.124069, 0.06651701, 0.9423631, 0.303536, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1290.442, 3458.45, 34.69884, -0.01194201, 0.004410003, 0.9469604, 0.3210982, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1216.291, 3473.757, 36.72271, -0.01194201, 0.004410003, 0.9469604, 0.3210982, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1553.728, 3432.979, 35.70766, 0.06112898, 0.0007579996, 0.9921227, -0.109341, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1588.448, 3446.607, 35.87511, -0.03034602, -0.02542801, 0.8079844, -0.5878724, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1595.817, 3432.064, 35.85238, -0.01808101, -0.01601601, 0.3658301, 0.9303682, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1647.729, 3468.165, 36.16582, -0.011673, -0.001897001, -0.2288441, 0.9733912, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1666.255, 3471.47, 35.72237, -0.006598004, -0.03563402, 0.5942844, 0.8034382, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 1604.815, 3451.422, 35.87511, -0.03034602, -0.02542801, 0.8079844, -0.5878724, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_12_long_0.ymap
prop_rock_3_h, 286.0362, 734.6049, 181.0058, -0.123554, -0.06383599, -0.4545589, 0.8797929, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05_long_0.ymap
prop_rock_3_h, 287.0321, 741.2033, 181.797, -0.1069041, -0.06334604, -0.5058213, 0.8536414, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05_long_0.ymap
prop_rock_3_h, 241.861, 737.4813, 193.2631, -0.2780231, -0.05919503, -0.1996571, 0.9377292, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 239.0026, 743.1876, 197.6446, -0.2655082, -0.06756803, -0.2371901, 0.9320305, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 262.8112, 806.7925, 193.2509, -0.111152, -0.10437, -0.6765128, 0.7204738, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 273.2179, 819.3082, 190.6758, -0.137473, -0.08931399, -0.537432, 0.8272189, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 237.5722, 789.4088, 199.9707, 0.03646002, 0.06711403, 0.8761403, -0.4759671, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 232.1838, 784.9946, 200.8792, 0.09261205, 0.04935302, 0.9592975, -0.2621751, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 218.9995, 745.3286, 202.0923, -0.159786, -0.06855401, -0.201126, 0.964011, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 187.5202, 766.228, 205.714, -0.016146, -0.010076, 0.784638, 0.619662, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 205.3161, 670.3841, 188.6951, -0.180779, -0.06891999, -0.3494999, 0.9167436, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 208.9665, 675.6193, 188.8975, -0.14326, -0.06098201, -0.3868901, 0.9088861, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 121.2454, 747.2557, 208.4369, -0.03656001, -0.010915, -0.2858611, 0.9575112, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 126.0971, 765.758, 209.4021, 0.02626699, -0.01593399, 0.8834677, -0.4674838, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 184.0438, 742.0748, 204.1417, -0.09733795, -0.04974898, -0.4523738, 0.8851035, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 132.4023, 742.452, 207.4371, -0.02299199, -0.02118699, -0.2697969, 0.9624096, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 149.2095, 722.4417, 206.9021, 0.037648, 0.020411, 0.947261, -0.317589, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 151.1164, 716.9006, 207.0368, 0.029353, 0.031183, 0.954047, -0.296581, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 131.8578, 701.0728, 207.9787, -0.005021997, -0.02000299, 0.9811075, -0.1923609, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 135.2909, 672.0594, 207.6022, -0.0423, -0.0007459999, -0.207909, 0.9772328, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 182.5681, 630.5596, 200.462, -0.09807099, 0.019462, -0.535893, 0.8383448, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 172.2408, 593.0639, 187.6945, -0.2729299, 0.0002659998, -0.113512, 0.9553137, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 183.6493, 593.8038, 186.006, -0.2191531, -0.06045202, -0.2077291, 0.9514022, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 122.9065, 584.5825, 184.7926, -0.2348121, 0.09625603, -0.5645722, 0.7854021, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, 134.6732, 638.4943, 205.0684, 0.001008, -0.089894, 0.8386431, 0.5372111, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05b_long_0.ymap
prop_rock_3_h, -92.19592, 875.7836, 234.9644, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -129.8955, 968.4443, 234.9595, 0, 0, -0.3576939, 0.9338389, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -125.4961, 948.5272, 235.0198, 0, 0, -0.5939333, 0.8045143, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -101.0408, 926.5746, 234.922, 0, 0, 0.7911718, 0.6115938, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -86.62845, 914.4093, 234.849, 0, 0, -0.5941933, 0.8043223, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -142.4564, 971.1492, 234.6045, 0, 0, 0.9114419, -0.411429, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -108.2819, 940.7292, 233.2578, 0.05671298, -0.03673999, 0.7359037, 0.6737058, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -57.88993, 955.932, 231.046, 0, 0, -0.6020131, 0.7984862, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -89.21487, 983.0065, 234.8909, 0, 0, 0.837232, 0.5468481, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -75.50894, 920.639, 233.2558, 0.02099001, -0.06054302, 0.3268941, 0.9428861, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_06_long_0.ymap
prop_rock_3_h, -685.9487, 458.6913, 109.1761, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_07_long_0.ymap
prop_rock_3_h, -1530.634, 874.1661, 180.3756, 0, 0, -0.1724441, 0.9850193, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_10_long_0.ymap
prop_rock_3_h, -1600.23, 783.2806, 188.1943, 0, 0, 0.7972617, -0.6036338, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_10_long_1.ymap
prop_rock_3_h, 1407.843, -1898.211, 69.58812, 0, 0, 0.5000003, 0.8660253, update\x64\dlcpacks\mpbiker\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\bkr_id1_rd_long_1.ymap
prop_rock_3_h, 1408.13, -1851.422, 71.30019, 0, 0.04696802, 0, 0.9988964, update\x64\dlcpacks\mpbiker\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\bkr_id1_rd_long_1.ymap
prop_rock_3_h, 1409.249, -1852.647, 71.40036, 0, 0, 0.985974, 0.166899, update\x64\dlcpacks\mpbiker\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\bkr_id1_rd_long_1.ymap
prop_rock_3_h, 1407.843, -1898.211, 69.58812, 0, 0, 0.5000003, 0.8660253, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\hei_id1_rd_long_1.ymap
prop_rock_3_h, 1408.13, -1851.422, 71.30019, 0, 0.04696802, 0, 0.9988964, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\hei_id1_rd_long_1.ymap
prop_rock_3_h, 1409.249, -1852.647, 71.40036, 0, 0, 0.985974, 0.166899, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\hei_id1_rd_long_1.ymap
prop_rock_3_h, 801.7657, -546.3884, 36.19632, 0.02622699, 0.153904, -0.390296, 0.9073559, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 807.9035, -517.2188, 36.47061, 0, 0, -0.4056949, 0.9140086, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 905.5235, -439.9863, 41.35117, -0.3246941, 0.004076003, 0.6834002, -0.6538512, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 1030.563, -366.8281, 55.70434, -0.117593, 0.08402297, 0.9829757, -0.11345, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 1039.907, -353.914, 55.83204, 0.0008039995, 0.07020699, 0.40937, 0.9096629, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 830.1123, -484.2433, 28.96839, 0, 0, 0.6689008, 0.7433517, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 834.7519, -484.4435, 29.10701, 0, 0, 0.4343151, 0.900761, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 830.3453, -486.6445, 29.00534, 0, 0, -0.1575791, 0.9875064, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 851.4719, -458.8992, 34.29729, -0.126364, 0.07295802, 0.6660843, 0.731465, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 886.8893, -447.88, 36.55996, 0, 0, 0.7685522, 0.6397872, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, 803.911, -542.3388, 36.3034, 0.08036302, 0.04712202, -0.131853, 0.986882, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\hei_id2_21_a_long_0.ymap
prop_rock_3_h, -305.4108, -2408.19, -4.057121, 0, 0, 0, 1, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_02_long_0.ymap
prop_rock_3_h, 49.01315, -2382.618, -3.165352, 0, 0, 0, 1, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_02_long_0.ymap
prop_rock_3_h, 583.0089, -2157.673, 7.17543, 0, 0, 0.9151202, -0.4031811, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 583.83, -2138.199, 8.982948, -0.03462898, -0.06316098, -0.2445139, 0.9669666, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 583.3539, -2166.088, 6.615173, 0.034615, -0.07215099, 0.4311639, 0.8987178, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 487.1187, -2084.308, 17.37295, 0, 0, 0.294258, 0.955726, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 573.1628, -2070.721, 16.52549, -0.001664, -0.07404602, -0.2033201, 0.976307, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 561.7195, -2068.236, 17.07942, 0.02887701, -0.07212304, 0.9940705, 0.07608104, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_09_long_0.ymap
prop_rock_3_h, 286.0362, 734.6049, 181.0058, -0.123554, -0.06383599, -0.4545589, 0.8797929, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05_long_0.ymap
prop_rock_3_h, 287.0321, 741.2033, 181.797, -0.1069041, -0.06334604, -0.5058213, 0.8536414, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05_long_0.ymap
prop_rock_3_h, 241.861, 737.4813, 193.2631, -0.2780231, -0.05919503, -0.1996571, 0.9377292, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 239.0026, 743.1876, 197.6446, -0.2655082, -0.06756803, -0.2371901, 0.9320305, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 262.8112, 806.7925, 193.2509, -0.111152, -0.10437, -0.6765128, 0.7204738, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 273.2179, 819.3082, 190.6758, -0.137473, -0.08931399, -0.537432, 0.8272189, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 237.5722, 789.4088, 199.9707, 0.03646002, 0.06711403, 0.8761403, -0.4759671, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 232.1838, 784.9946, 200.8792, 0.09261205, 0.04935302, 0.9592975, -0.2621751, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 218.9995, 745.3286, 202.0923, -0.159786, -0.06855401, -0.201126, 0.964011, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 187.5202, 766.228, 205.714, -0.016146, -0.010076, 0.784638, 0.619662, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 205.3161, 670.3841, 188.6951, -0.180779, -0.06891999, -0.3494999, 0.9167436, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 208.9665, 675.6193, 188.8975, -0.14326, -0.06098201, -0.3868901, 0.9088861, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 121.2454, 747.2557, 208.4369, -0.03656001, -0.010915, -0.2858611, 0.9575112, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 126.0971, 765.758, 209.4021, 0.02626699, -0.01593399, 0.8834677, -0.4674838, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 184.0438, 742.0748, 204.1417, -0.09733795, -0.04974898, -0.4523738, 0.8851035, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 132.4023, 742.452, 207.4371, -0.02299199, -0.02118699, -0.2697969, 0.9624096, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 149.2095, 722.4417, 206.9021, 0.037648, 0.020411, 0.947261, -0.317589, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 151.1164, 716.9006, 207.0368, 0.029353, 0.031183, 0.954047, -0.296581, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 131.8578, 701.0728, 207.9787, -0.005021997, -0.02000299, 0.9811075, -0.1923609, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 135.2909, 672.0594, 207.6022, -0.0423, -0.0007459999, -0.207909, 0.9772328, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 182.5681, 630.5596, 200.462, -0.09807099, 0.019462, -0.535893, 0.8383448, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 172.2408, 593.0639, 187.6945, -0.2729299, 0.0002659998, -0.113512, 0.9553137, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 183.6493, 593.8038, 186.006, -0.2191531, -0.06045202, -0.2077291, 0.9514022, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 122.9065, 584.5825, 184.7926, -0.2348121, 0.09625603, -0.5645722, 0.7854021, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, 134.6732, 638.4943, 205.0684, 0.001008, -0.089894, 0.8386431, 0.5372111, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05b_long_0.ymap
prop_rock_3_h, -92.19592, 875.7836, 234.9644, 0, 0, 0, 1, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -129.8955, 968.4443, 234.9595, 0, 0, -0.3576939, 0.9338389, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -125.4961, 948.5272, 235.0198, 0, 0, -0.5939333, 0.8045143, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -101.0408, 926.5746, 234.922, 0, 0, 0.7911718, 0.6115938, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -86.62845, 914.4093, 234.849, 0, 0, -0.5941933, 0.8043223, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -142.4564, 971.1492, 234.6045, 0, 0, 0.9114419, -0.411429, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -108.2819, 940.7292, 233.2578, 0.05671298, -0.03673999, 0.7359037, 0.6737058, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -57.88993, 955.932, 231.046, 0, 0, -0.6020131, 0.7984862, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
prop_rock_3_h, -89.21487, 983.0065, 234.8909, 0, 0, 0.837232, 0.5468481, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_06_long_0.ymap
