ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_4_d, 2045.014, 2680.783, 47.45554, 0.657968, 0.7504491, -0.06230901, 0.004668001, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_7.ymap
prop_rock_4_d, 1887.779, 2691.931, 44.73244, 0.06658802, 0.02480501, 0.5430412, 0.8366941, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_7.ymap
prop_rock_4_d, 1920.839, 2647, 44.93424, 0.08674601, 0.007896, 0.8682481, 0.4884241, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_8.ymap
prop_rock_4_d, -714.2783, 2511.547, 71.34396, -0.04418899, -0.244334, 0.154268, 0.9563209, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_09_strm_0.ymap
prop_rock_4_d, -710.0426, 2507.945, 68.90924, -0.09535502, -0.145752, -0.007299001, 0.984688, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_09_strm_0.ymap
prop_rock_4_d, 2340.765, 3902.93, 34.2882, 0.01043, 0.01208501, -0.03994402, 0.9990744, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_roads_strm_1.ymap
prop_rock_4_d, 555.8839, -2019.297, 26.2419, 0.1685899, 0.014556, -0.06762999, 0.9832557, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_d, 535.3702, -2009.674, 22.38726, -0.03450399, 0.006393997, 0.8333916, -0.5515677, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_d, 503.3065, -2027.239, 25.44838, -0.009699005, 0.004892002, 0.3332312, 0.9427826, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_d, 607.9653, -1810.577, 22.48998, 0.02256401, 0.01922601, 0.9529483, -0.3016801, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_d, 616.2864, -1789.57, 19.87057, 0.130179, -0.07805499, 0.698265, 0.699562, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_d, -1347.731, 4720.089, 55.28528, 0.7536853, 0.6317042, -0.1633571, 0.07888503, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_3.ymap
prop_rock_4_d, -1260.941, 4689.428, 84.53173, 0.104504, 0.1449601, 0.8087444, 0.5603552, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_3.ymap
prop_rock_4_d, 2808.684, 4600.443, 44.56564, 0.126932, 0.007639997, 0.831673, 0.540509, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_05_strm_0.ymap
prop_rock_4_d, 2751.049, 4787.795, 43.43912, -0.07937805, 0.01772201, -0.5906724, 0.8028021, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_05_strm_0.ymap
prop_rock_4_d, 2745.345, 4883.139, 32.76957, 0.07457799, 0.04045299, 0.8620758, 0.4996269, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_05_strm_0.ymap
prop_rock_4_d, 2958.78, 4183.334, 52.23426, -0.01414099, 0.08110297, 0.6873538, 0.7216419, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_05_strm_3.ymap
prop_rock_4_d, 3877.323, 3943.998, -0.653412, 0.1175891, -0.03359101, 0.8847694, -0.4496972, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_30_long_0.ymap
prop_rock_4_d, 3749.84, 3774.044, 5.93486, 0.691368, 0.7016271, -0.022054, 0.171007, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_30_strm_0.ymap
prop_rock_4_d, 2340.765, 3902.93, 34.2882, 0.01043001, 0.01208501, -0.03994402, 0.9990744, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\hei_cs4_roads_strm_1.ymap
prop_rock_4_d, 1437.548, 2549.02, 38.46487, 0.026754, 0.07268502, 0.9591812, 0.271979, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1407.186, 2600.028, 36.45554, -0.03428802, 0.09621804, 0.1018921, 0.9895375, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1478.542, 2649.765, 47.10801, 0.02606801, 0.06588902, 0.9609703, 0.2674231, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1478.896, 2413.538, 48.09184, 0.05325804, -0.04860404, 0.7314045, -0.6781214, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1506.404, 2441.043, 45.89773, -0.07038403, 0.03394401, -0.6807092, 0.7283741, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1568.524, 2380.105, 46.55098, 0.06366801, 0.038635, 0.9950241, -0.06618701, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_0.ymap
prop_rock_4_d, 1834.5, 2780.396, 44.79339, 0.04282898, -0.01142699, 0.9990165, -0.001016, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_5.ymap
prop_rock_4_d, 1781.235, 2808.738, 44.22098, -0.046829, 0.06317, -0.553801, 0.8289277, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_5.ymap
prop_rock_4_d, 1971.599, 2741.617, 45.78428, 0.4021768, 0.8875977, 0.02445399, 0.2232179, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_7.ymap
prop_rock_4_d, 2045.014, 2680.783, 47.45554, 0.657968, 0.7504491, -0.06230901, 0.004668001, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_7.ymap
prop_rock_4_d, 1887.779, 2691.931, 44.73244, 0.06658802, 0.02480501, 0.5430412, 0.8366941, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_7.ymap
prop_rock_4_d, 1920.839, 2647, 44.93424, 0.08674601, 0.007896, 0.8682481, 0.4884241, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_04_strm_8.ymap
prop_rock_4_d, -714.2783, 2511.547, 71.34396, -0.04418899, -0.244334, 0.154268, 0.9563209, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_09_strm_0.ymap
prop_rock_4_d, -710.0426, 2507.945, 68.90924, -0.09535502, -0.145752, -0.007299001, 0.984688, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\hei_cs6_09_strm_0.ymap
prop_rock_4_d, 555.8839, -2019.297, 26.2419, 0.1685899, 0.014556, -0.06762999, 0.9832557, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_32_strm_0.ymap
prop_rock_4_d, 535.3702, -2009.674, 22.38726, -0.03450399, 0.006393997, 0.8333916, -0.5515677, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_32_strm_0.ymap
prop_rock_4_d, 503.3065, -2027.239, 25.44838, -0.009699005, 0.004892002, 0.3332312, 0.9427826, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_32_strm_0.ymap
prop_rock_4_d, 607.9653, -1810.577, 22.48998, 0.02256401, 0.01922601, 0.9529483, -0.3016801, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_32_strm_0.ymap
prop_rock_4_d, 616.2864, -1789.57, 19.87057, 0.130179, -0.07805499, 0.698265, 0.699562, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_32_strm_0.ymap
prop_rock_4_d, 2340.765, 3902.93, 34.2882, 0.01043001, 0.01208501, -0.03994402, 0.9990744, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_roads_strm_1.ymap
prop_rock_4_d, 1437.548, 2549.02, 38.46487, 0.026754, 0.07268502, 0.9591812, 0.271979, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1407.186, 2600.028, 36.45554, -0.03428802, 0.09621804, 0.1018921, 0.9895375, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1478.542, 2649.765, 47.10801, 0.02606801, 0.06588902, 0.9609703, 0.2674231, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1478.896, 2413.538, 48.09184, 0.05325804, -0.04860404, 0.7314045, -0.6781214, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1506.404, 2441.043, 45.89773, -0.07038403, 0.03394401, -0.6807092, 0.7283741, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1568.524, 2380.105, 46.55098, 0.06366801, 0.038635, 0.9950241, -0.06618701, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_0.ymap
prop_rock_4_d, 1834.5, 2780.396, 44.79339, 0.04282898, -0.01142699, 0.9990165, -0.001016, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_5.ymap
prop_rock_4_d, 1781.235, 2808.738, 44.22098, -0.046829, 0.06317, -0.553801, 0.8289277, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_5.ymap
prop_rock_4_d, 1971.599, 2741.617, 45.78428, 0.4021768, 0.8875977, 0.02445399, 0.2232179, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_7.ymap
prop_rock_4_d, 2045.014, 2680.783, 47.45554, 0.657968, 0.7504491, -0.06230901, 0.004668001, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_7.ymap
prop_rock_4_d, 1887.779, 2691.931, 44.73244, 0.06658802, 0.02480501, 0.5430412, 0.8366941, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_7.ymap
prop_rock_4_d, 1920.839, 2647, 44.93424, 0.08674601, 0.007896, 0.8682481, 0.4884241, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_04_strm_8.ymap
prop_rock_4_d, -714.2783, 2511.547, 71.34396, -0.04418899, -0.244334, 0.154268, 0.9563209, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_09_strm_0.ymap
prop_rock_4_d, -710.0426, 2507.945, 68.90924, -0.09535502, -0.145752, -0.007299001, 0.984688, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\lr_cs6_09_strm_0.ymap
prop_rock_4_d, 555.8839, -2019.297, 26.2419, 0.1685899, 0.014556, -0.06762999, 0.9832557, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 535.3702, -2009.674, 22.38726, -0.03450399, 0.006393997, 0.8333916, -0.5515677, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 503.3065, -2027.239, 25.44838, -0.009699005, 0.004892002, 0.3332312, 0.9427826, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 607.9653, -1810.577, 22.48998, 0.02256401, 0.01922601, 0.9529483, -0.3016801, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 616.2864, -1789.57, 19.87057, 0.130179, -0.07805499, 0.698265, 0.699562, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, -1347.731, 4720.089, 55.28528, 0.7536853, 0.6317042, -0.1633571, 0.07888503, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_d, -1260.941, 4689.428, 84.53173, 0.104504, 0.1449601, 0.8087444, 0.5603552, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_d, 2340.765, 3902.93, 34.2882, 0.01043001, 0.01208501, -0.03994402, 0.9990744, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_roads_strm_1.ymap
prop_rock_4_d, 1437.548, 2549.02, 38.46487, 0.026754, 0.07268502, 0.9591812, 0.271979, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1407.186, 2600.028, 36.45554, -0.03428802, 0.09621804, 0.1018921, 0.9895375, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1478.542, 2649.765, 47.10801, 0.02606801, 0.06588902, 0.9609703, 0.2674231, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1478.896, 2413.538, 48.09184, 0.05325804, -0.04860404, 0.7314045, -0.6781214, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1506.404, 2441.043, 45.89773, -0.07038403, 0.03394401, -0.6807092, 0.7283741, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1568.524, 2380.105, 46.55098, 0.06366801, 0.038635, 0.9950241, -0.06618701, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_d, 1834.5, 2780.396, 44.79339, 0.04282898, -0.01142699, 0.9990165, -0.001016, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_5.ymap
prop_rock_4_d, 1781.235, 2808.738, 44.22098, -0.046829, 0.06317, -0.553801, 0.8289277, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_5.ymap
prop_rock_4_d, 1971.599, 2741.617, 45.78428, 0.4021768, 0.8875977, 0.02445399, 0.2232179, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_7.ymap
prop_rock_4_d, 2045.014, 2680.783, 47.45554, 0.657968, 0.7504491, -0.06230901, 0.004668001, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_7.ymap
prop_rock_4_d, 1887.779, 2691.931, 44.73244, 0.06658802, 0.02480501, 0.5430412, 0.8366941, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_7.ymap
prop_rock_4_d, 1920.839, 2647, 44.93424, 0.08674601, 0.007896, 0.8682481, 0.4884241, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_8.ymap
prop_rock_4_d, -714.2783, 2511.547, 71.34396, -0.04418899, -0.244334, 0.154268, 0.9563209, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_09_strm_0.ymap
prop_rock_4_d, -710.0426, 2507.945, 68.90924, -0.09535502, -0.145752, -0.007299001, 0.984688, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_09_strm_0.ymap
prop_rock_4_d, 555.8839, -2019.297, 26.2419, 0.1685899, 0.014556, -0.06762999, 0.9832557, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 535.3702, -2009.674, 22.38726, -0.03450399, 0.006393997, 0.8333916, -0.5515677, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 503.3065, -2027.239, 25.44838, -0.009699005, 0.004892002, 0.3332312, 0.9427826, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 607.9653, -1810.577, 22.48998, 0.02256401, 0.01922601, 0.9529483, -0.3016801, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, 616.2864, -1789.57, 19.87057, 0.130179, -0.07805499, 0.698265, 0.699562, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_d, -1347.731, 4720.089, 55.28528, 0.7536853, 0.6317042, -0.1633571, 0.07888503, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_d, -1260.941, 4689.428, 84.53173, 0.104504, 0.1449601, 0.8087444, 0.5603552, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_d, 2808.684, 4600.443, 44.56564, 0.126932, 0.007639997, 0.831673, 0.540509, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
prop_rock_4_d, 2751.049, 4787.795, 43.43912, -0.07937805, 0.01772201, -0.5906724, 0.8028021, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
prop_rock_4_d, 2745.345, 4883.139, 32.76957, 0.07457799, 0.04045299, 0.8620758, 0.4996269, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
prop_rock_4_d, 2958.78, 4183.334, 52.23426, -0.01414099, 0.08110297, 0.6873538, 0.7216419, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_3.ymap
prop_rock_4_d, 3877.323, 3943.998, -0.653412, 0.1175891, -0.03359101, 0.8847694, -0.4496972, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_30_long_0.ymap
prop_rock_4_d, 3749.84, 3774.044, 5.93486, 0.691368, 0.7016271, -0.022054, 0.171007, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_30_strm_0.ymap
prop_rock_4_d, 1437.548, 2549.02, 38.46487, 0.026754, 0.07268502, 0.9591812, 0.271979, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
